"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 01:54:42 GMT 2024","Wed May 08 01:54:50 GMT 2024","7623","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed May 08 01:54:50 GMT 2024","Wed May 08 01:54:57 GMT 2024","7372","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed May 08 01:54:32 GMT 2024","Wed May 08 01:54:42 GMT 2024","10061","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed May 08 01:54:57 GMT 2024","Wed May 08 01:55:05 GMT 2024","7626","","Google Search","","Just a failing test","","Just a failing test",""
