"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 02:04:13 GMT 2023","Wed Sep 27 02:04:21 GMT 2023","7814","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Sep 27 02:04:21 GMT 2023","Wed Sep 27 02:04:30 GMT 2023","8673","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Sep 27 02:04:04 GMT 2023","Wed Sep 27 02:04:13 GMT 2023","9219","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Sep 27 02:03:48 GMT 2023","Wed Sep 27 02:04:04 GMT 2023","15362","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
