"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 02:10:32 GMT 2024","Wed May 01 02:10:42 GMT 2024","9978","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed May 01 02:10:42 GMT 2024","Wed May 01 02:10:52 GMT 2024","9786","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed May 01 02:10:52 GMT 2024","Wed May 01 02:11:00 GMT 2024","7650","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed May 01 02:11:00 GMT 2024","Wed May 01 02:11:07 GMT 2024","7480","","Google Search","","Just a failing test","","Just a failing test",""
