"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 02:26:24 GMT 2023","Wed May 24 02:26:32 GMT 2023","8880","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed May 24 02:26:06 GMT 2023","Wed May 24 02:26:17 GMT 2023","10430","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed May 24 02:26:32 GMT 2023","Wed May 24 02:26:42 GMT 2023","9230","","Google Search","","Just a failing test","","Just a failing test",""
"failed","Wed May 24 02:26:17 GMT 2023","Wed May 24 02:26:24 GMT 2023","6946","","Google Search","","Search for Other Teams","","Search for Other Teams",""
