"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 20 02:01:27 GMT 2024","Wed Mar 20 02:01:54 GMT 2024","27911","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Mar 20 02:02:13 GMT 2024","Wed Mar 20 02:02:21 GMT 2024","8255","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Mar 20 02:02:06 GMT 2024","Wed Mar 20 02:02:13 GMT 2024","7155","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Mar 20 02:01:54 GMT 2024","Wed Mar 20 02:02:06 GMT 2024","11311","","Google Search","","Search for Other Teams","","Search for Other Teams",""
