"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 02:05:40 GMT 2024","Wed Apr 17 02:05:51 GMT 2024","10705","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Apr 17 02:05:59 GMT 2024","Wed Apr 17 02:06:07 GMT 2024","8730","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Apr 17 02:05:29 GMT 2024","Wed Apr 17 02:05:40 GMT 2024","11614","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Apr 17 02:05:51 GMT 2024","Wed Apr 17 02:05:59 GMT 2024","7593","","Google Search","","Search for Other Teams","","Search for Other Teams",""
