"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 02:22:10 GMT 2024","Wed Jul 17 02:22:20 GMT 2024","10074","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Jul 17 02:22:38 GMT 2024","Wed Jul 17 02:22:45 GMT 2024","7277","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Jul 17 02:22:29 GMT 2024","Wed Jul 17 02:22:38 GMT 2024","8920","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Jul 17 02:22:20 GMT 2024","Wed Jul 17 02:22:29 GMT 2024","8643","","Google Search","","Search for Other Teams","","Search for Other Teams",""
