"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 02:30:17 GMT 2024","Wed Sep 04 02:30:30 GMT 2024","13782","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Sep 04 02:30:07 GMT 2024","Wed Sep 04 02:30:16 GMT 2024","9905","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Sep 04 02:30:39 GMT 2024","Wed Sep 04 02:30:47 GMT 2024","8263","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Sep 04 02:30:30 GMT 2024","Wed Sep 04 02:30:39 GMT 2024","8368","","Google Search","","Search for Other Teams","","Search for Other Teams",""
