"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 02:00:50 GMT 2023","Wed Aug 23 02:00:59 GMT 2023","9350","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Aug 23 02:01:07 GMT 2023","Wed Aug 23 02:01:16 GMT 2023","8651","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Aug 23 02:00:59 GMT 2023","Wed Aug 23 02:01:07 GMT 2023","7697","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Aug 23 02:00:37 GMT 2023","Wed Aug 23 02:00:50 GMT 2023","12598","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
