"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 02:48:10 GMT 2023","Wed Jun 28 02:48:17 GMT 2023","7361","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jun 28 02:48:17 GMT 2023","Wed Jun 28 02:48:24 GMT 2023","6475","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jun 28 02:47:56 GMT 2023","Wed Jun 28 02:48:10 GMT 2023","13583","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Jun 28 02:48:24 GMT 2023","Wed Jun 28 02:48:30 GMT 2023","6433","","Google Search","","Just a failing test","","Just a failing test",""
