"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 02:28:05 GMT 2024","Wed Aug 28 02:28:12 GMT 2024","7311","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Aug 28 02:27:57 GMT 2024","Wed Aug 28 02:28:05 GMT 2024","7647","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Aug 28 02:28:12 GMT 2024","Wed Aug 28 02:28:19 GMT 2024","6973","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Aug 28 02:27:47 GMT 2024","Wed Aug 28 02:27:57 GMT 2024","10248","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
