"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 21 04:10:23 GMT 2022","Wed Sep 21 04:10:31 GMT 2022","8140","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Sep 21 04:10:05 GMT 2022","Wed Sep 21 04:10:14 GMT 2022","8341","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Sep 21 04:09:55 GMT 2022","Wed Sep 21 04:10:05 GMT 2022","10563","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Sep 21 04:10:14 GMT 2022","Wed Sep 21 04:10:23 GMT 2022","8931","","Google Search","","Search for Other Teams","","Search for Other Teams",""
