"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 07 04:10:59 GMT 2022","Wed Sep 07 04:11:07 GMT 2022","8192","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Sep 07 04:10:43 GMT 2022","Wed Sep 07 04:10:51 GMT 2022","8310","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Sep 07 04:10:32 GMT 2022","Wed Sep 07 04:10:43 GMT 2022","11080","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Sep 07 04:10:51 GMT 2022","Wed Sep 07 04:10:59 GMT 2022","7646","","Google Search","","Search for Other Teams","","Search for Other Teams",""
