"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 02:45:09 GMT 2023","Wed Jun 07 02:45:19 GMT 2023","9857","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Jun 07 02:45:26 GMT 2023","Wed Jun 07 02:45:32 GMT 2023","6761","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Jun 07 02:45:32 GMT 2023","Wed Jun 07 02:45:39 GMT 2023","6457","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Jun 07 02:45:19 GMT 2023","Wed Jun 07 02:45:26 GMT 2023","6347","","Google Search","","Search for Other Teams","","Search for Other Teams",""
