"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 06 02:03:05 GMT 2023","Wed Sep 06 02:03:13 GMT 2023","8354","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Sep 06 02:02:28 GMT 2023","Wed Sep 06 02:02:47 GMT 2023","19628","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Sep 06 02:02:56 GMT 2023","Wed Sep 06 02:03:05 GMT 2023","8998","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Sep 06 02:02:48 GMT 2023","Wed Sep 06 02:02:56 GMT 2023","8528","","Google Search","","Search for Other Teams","","Search for Other Teams",""
