"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 15 02:40:20 GMT 2023","Wed Feb 15 02:40:27 GMT 2023","7060","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Feb 15 02:39:53 GMT 2023","Wed Feb 15 02:40:02 GMT 2023","9127","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Feb 15 02:40:11 GMT 2023","Wed Feb 15 02:40:20 GMT 2023","8392","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Feb 15 02:40:02 GMT 2023","Wed Feb 15 02:40:11 GMT 2023","9052","","Google Search","","Search for Other Teams","","Search for Other Teams",""
