"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 02:02:38 GMT 2024","Wed Feb 28 02:02:45 GMT 2024","7603","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Feb 28 02:02:45 GMT 2024","Wed Feb 28 02:02:53 GMT 2024","7354","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Feb 28 02:02:20 GMT 2024","Wed Feb 28 02:02:37 GMT 2024","17232","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Feb 28 02:02:53 GMT 2024","Wed Feb 28 02:03:00 GMT 2024","7295","","Google Search","","Just a failing test","","Just a failing test",""
