"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 05 02:48:57 GMT 2023","Wed Jul 05 02:49:05 GMT 2023","8281","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Jul 05 02:49:05 GMT 2023","Wed Jul 05 02:49:13 GMT 2023","8367","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Jul 05 02:48:33 GMT 2023","Wed Jul 05 02:48:47 GMT 2023","14257","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Jul 05 02:48:48 GMT 2023","Wed Jul 05 02:48:57 GMT 2023","9144","","Google Search","","Search for Other Teams","","Search for Other Teams",""
