"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 12 03:52:54 GMT 2022","Wed Oct 12 03:52:55 GMT 2022","1120","","Google Search","","Just a failing test","","Just a failing test",""
"skipped","Wed Oct 12 03:52:52 GMT 2022","Wed Oct 12 03:52:53 GMT 2022","1090","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"skipped","Wed Oct 12 03:52:53 GMT 2022","Wed Oct 12 03:52:54 GMT 2022","1126","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"skipped","Wed Oct 12 03:52:49 GMT 2022","Wed Oct 12 03:52:52 GMT 2022","2603","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
