"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 02:13:04 GMT 2024","Wed Jun 26 02:13:15 GMT 2024","10664","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Jun 26 02:13:30 GMT 2024","Wed Jun 26 02:13:39 GMT 2024","8436","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jun 26 02:13:15 GMT 2024","Wed Jun 26 02:13:30 GMT 2024","15160","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Jun 26 02:13:39 GMT 2024","Wed Jun 26 02:13:47 GMT 2024","8673","","Google Search","","Just a failing test","","Just a failing test",""
