"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 01 02:47:08 GMT 2023","Wed Feb 01 02:47:16 GMT 2023","8417","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Feb 01 02:47:00 GMT 2023","Wed Feb 01 02:47:08 GMT 2023","7551","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Feb 01 02:46:41 GMT 2023","Wed Feb 01 02:46:51 GMT 2023","10766","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Feb 01 02:46:52 GMT 2023","Wed Feb 01 02:47:00 GMT 2023","8706","","Google Search","","Search for Other Teams","","Search for Other Teams",""
