"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 20:57:43 GMT 2023","Thu Jan 05 20:57:53 GMT 2023","9755","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Thu Jan 05 20:57:16 GMT 2023","Thu Jan 05 20:57:33 GMT 2023","16875","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Thu Jan 05 20:57:53 GMT 2023","Thu Jan 05 20:58:01 GMT 2023","8766","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Thu Jan 05 20:57:33 GMT 2023","Thu Jan 05 20:57:43 GMT 2023","9779","","Google Search","","Search for Other Teams","","Search for Other Teams",""
