"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 03 02:13:37 GMT 2024","Wed Jul 03 02:13:45 GMT 2024","7998","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jul 03 02:13:29 GMT 2024","Wed Jul 03 02:13:37 GMT 2024","7933","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jul 03 02:13:17 GMT 2024","Wed Jul 03 02:13:29 GMT 2024","11983","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Jul 03 02:13:45 GMT 2024","Wed Jul 03 02:13:52 GMT 2024","7280","","Google Search","","Just a failing test","","Just a failing test",""
