"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 02:28:24 GMT 2023","Wed Jun 21 02:28:44 GMT 2023","20034","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Jun 21 02:28:59 GMT 2023","Wed Jun 21 02:29:06 GMT 2023","6796","","Google Search","","Just a failing test","","Just a failing test",""
"failed","Wed Jun 21 02:28:45 GMT 2023","Wed Jun 21 02:28:52 GMT 2023","7712","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jun 21 02:28:52 GMT 2023","Wed Jun 21 02:28:59 GMT 2023","6998","","Google Search","","Search for Other Teams","","Search for Other Teams",""
