"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 10 02:04:11 GMT 2024","Wed Apr 10 02:04:19 GMT 2024","8119","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Apr 10 02:03:54 GMT 2024","Wed Apr 10 02:04:03 GMT 2024","9111","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Apr 10 02:04:03 GMT 2024","Wed Apr 10 02:04:11 GMT 2024","7427","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Apr 10 02:03:36 GMT 2024","Wed Apr 10 02:03:54 GMT 2024","18085","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
