"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 02:03:08 GMT 2024","Wed Feb 14 02:03:16 GMT 2024","8018","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Feb 14 02:02:32 GMT 2024","Wed Feb 14 02:03:00 GMT 2024","27404","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Feb 14 02:03:16 GMT 2024","Wed Feb 14 02:03:22 GMT 2024","6416","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Feb 14 02:03:00 GMT 2024","Wed Feb 14 02:03:08 GMT 2024","7658","","Google Search","","Search for Other Teams","","Search for Other Teams",""
