"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 03 02:08:04 GMT 2024","Wed Jan 03 02:08:13 GMT 2024","8387","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Wed Jan 03 02:07:56 GMT 2024","Wed Jan 03 02:08:04 GMT 2024","8167","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jan 03 02:07:45 GMT 2024","Wed Jan 03 02:07:56 GMT 2024","10735","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jan 03 02:07:34 GMT 2024","Wed Jan 03 02:07:45 GMT 2024","10820","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
