"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 02:21:25 GMT 2024","Wed Jul 10 02:21:34 GMT 2024","8725","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jul 10 02:21:34 GMT 2024","Wed Jul 10 02:21:43 GMT 2024","8931","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Jul 10 02:20:42 GMT 2024","Wed Jul 10 02:21:25 GMT 2024","42806","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Jul 10 02:21:43 GMT 2024","Wed Jul 10 02:21:52 GMT 2024","9426","","Google Search","","Just a failing test","","Just a failing test",""
