"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 05 01:24:55 GMT 2024","Thu Dec 05 01:25:03 GMT 2024","7716","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Thu Dec 05 01:23:45 GMT 2024","Thu Dec 05 01:24:37 GMT 2024","52671","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Thu Dec 05 01:24:38 GMT 2024","Thu Dec 05 01:24:48 GMT 2024","10063","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Thu Dec 05 01:24:48 GMT 2024","Thu Dec 05 01:24:55 GMT 2024","7499","","Google Search","","Search for Other Teams","","Search for Other Teams",""
