"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 02:02:31 GMT 2024","Wed Jan 31 02:02:43 GMT 2024","12144","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Wed Jan 31 02:02:43 GMT 2024","Wed Jan 31 02:02:51 GMT 2024","8192","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Jan 31 02:03:01 GMT 2024","Wed Jan 31 02:03:09 GMT 2024","8158","","Google Search","","Just a failing test","","Just a failing test",""
"failed","Wed Jan 31 02:02:51 GMT 2024","Wed Jan 31 02:03:01 GMT 2024","9468","","Google Search","","Search for Other Teams","","Search for Other Teams",""
