"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 23 22:11:07 GMT 2022","Tue Aug 23 22:11:15 GMT 2022","7343","","Google Search","","Just a failing test","","Just a failing test",""
"passed","Tue Aug 23 22:11:00 GMT 2022","Tue Aug 23 22:11:07 GMT 2022","7687","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Tue Aug 23 22:10:36 GMT 2022","Tue Aug 23 22:10:50 GMT 2022","14182","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"passed","Tue Aug 23 22:10:51 GMT 2022","Tue Aug 23 22:10:59 GMT 2022","8906","","Google Search","","Search for Other Teams","","Search for Other Teams",""
