"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 30 02:02:27 GMT 2023","Wed Aug 30 02:02:34 GMT 2023","7300","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"passed","Wed Aug 30 02:02:07 GMT 2023","Wed Aug 30 02:02:19 GMT 2023","12180","","Google Search","","Search only For Boca Juniors","","Search only For Boca Juniors",""
"failed","Wed Aug 30 02:02:20 GMT 2023","Wed Aug 30 02:02:27 GMT 2023","7395","","Google Search","","Search for Other Teams","","Search for Other Teams",""
"failed","Wed Aug 30 02:02:34 GMT 2023","Wed Aug 30 02:02:41 GMT 2023","6824","","Google Search","","Just a failing test","","Just a failing test",""
